Sujetos,Condición,Percepción cuánto recuerdo,Valencia percibida recuerdo,Valencia percibida -5 a +5,Intensidad percibida recuerdo,Nro palabras únicas,Intensidad pysent,Positivo pysennt,Negativo pysent,Neutro pysennt,Nro sust,Nro verb,Nro adj,Nro numeral,Nro propn,Nro advs
4,arabia,3.0,-1.0,5.0,5.0,0.5224747005079712,0.8682468901388347,0.007015622686594725,0.86123126745224,0.1317531317472458,151,116,43,18,18,74
5,arabia,2.0,-1.0,3.0,3.0,-0.5080792024091124,0.6275932118296623,0.05258529633283615,0.5750079154968262,0.37240684032440186,41,25,14,1,4,21
6,arabia,2.0,0.0,2.0,2.0,-1.3421940435390376,0.4141070945188403,0.009061972610652447,0.40504512190818787,0.585892915725708,23,19,3,3,5,7
7,arabia,3.0,-1.0,3.0,3.0,-0.4872858583621349,0.8408577656373382,0.004011652432382107,0.836846113204956,0.15914224088191986,52,53,24,2,9,28
8,arabia,4.0,-1.0,1.0,1.0,0.5063600803845193,0.6444454323500395,0.6262285113334656,0.018216921016573906,0.35555461049079895,32,37,8,1,9,21
9,arabia,2.0,-1.0,3.0,3.0,-0.477283320503755,0.20667374227195978,0.01454950962215662,0.19212423264980316,0.7933262586593628,72,56,20,2,20,28
10,arabia,3.0,-1.0,4.0,4.0,1.3322823886336361,0.20552296191453934,0.05299486964941025,0.1525280922651291,0.794477105140686,120,105,45,19,17,76
11,arabia,2.0,0.0,3.0,3.0,-0.5528805077909661,0.1955299973487854,0.04971770942211151,0.1458122879266739,0.8044700026512146,31,31,12,2,8,33
12,arabia,3.0,0.0,3.0,3.0,-0.8216123613583225,0.3486235477030277,0.049766991287469864,0.29885655641555786,0.651376485824585,8,16,7,1,9,10
13,arabia,3.0,0.0,2.0,2.0,0.4630522922710076,0.2903103902935982,0.06317100673913956,0.22713938355445862,0.7096896171569824,43,37,14,4,11,26
14,arabia,3.0,-1.0,3.0,3.0,-0.128975148563335,0.2965540923178196,0.0480136014521122,0.2485404908657074,0.7034459114074707,16,30,7,2,5,19
15,arabia,3.0,0.0,2.0,2.0,-0.20079977707684998,0.3132901545614004,0.02155364118516445,0.29173651337623596,0.6867098808288574,41,35,8,9,1,22
16,arabia,2.0,-1.0,5.0,5.0,0.7042952122737638,0.4351239502429962,0.3331470787525177,0.10197687149047852,0.5648760199546814,33,29,15,7,5,14
17,arabia,2.0,0.0,2.0,2.0,-0.8594809821104473,0.28548410534858704,0.22410720586776733,0.0613768994808197,0.7145158648490906,45,37,10,1,5,37
18,arabia,1.0,1.0,2.0,2.0,-0.7695781671971994,0.2080982606858015,0.02472241036593914,0.18337585031986237,0.7919018268585205,57,40,15,8,3,32
19,arabia,1.0,0.0,1.0,1.0,-0.9727480127010555,0.8071066788397729,0.00765681779012084,0.7994498610496521,0.19289329648017883,4,11,2,0,0,8
20,arabia,3.0,-1.0,3.0,3.0,-0.5626047591264085,0.9455521651543677,0.004992301110178232,0.9405598640441895,0.05444781109690666,35,26,11,0,3,23
21,arabia,1.0,0.0,1.0,1.0,-1.1417254140137465,0.7898166012018919,0.009508056566119194,0.7803085446357727,0.21018339693546295,21,17,7,0,5,24
22,arabia,5.0,-1.0,2.0,2.0,-0.6872956252113417,0.1504482850432396,0.1030203327536583,0.0474279522895813,0.8495517373085022,108,60,31,9,11,44
23,arabia,3.0,0.0,2.0,2.0,0.18519881093773558,0.5980846453458071,0.016760366037487984,0.5813242793083191,0.4019153118133545,38,36,6,0,6,26
24,arabia,3.0,1.0,4.0,4.0,-0.26736062139821976,0.45312561094760895,0.026478245854377747,0.4266473650932312,0.5468744039535522,41,36,9,0,4,28
25,arabia,2.0,0.0,1.0,1.0,-1.111031109306597,0.23147056996822357,0.07297161221504211,0.15849895775318146,0.7685295343399048,21,25,7,1,2,18
26,arabia,4.0,0.0,4.0,4.0,1.357042915399861,0.16512765735387802,0.08276740461587906,0.08236025273799896,0.8348723649978638,121,105,34,6,19,58
27,arabia,1.0,0.0,1.0,1.0,-0.5786913866044946,0.8398681737016886,0.0037921525072306395,0.836076021194458,0.16013187170028687,44,49,6,5,5,37
28,arabia,4.0,0.0,3.0,3.0,0.2620417706846642,0.572912834584713,0.02390863746404648,0.5490041971206665,0.4270871877670288,65,57,27,7,5,50
29,arabia,2.0,-1.0,3.0,3.0,-0.7301619151763586,0.8515813341364264,0.004587887786328793,0.8469934463500977,0.14841870963573456,31,22,3,3,2,18
30,arabia,5.0,-1.0,4.0,4.0,0.8814715274222119,0.35340744256973267,0.0315605103969574,0.32184693217277527,0.6465925574302673,64,53,18,4,1,42
1,antesdevenir,,,,,-1.1601465137038411,0.1315147541463375,0.09628339111804962,0.03523136302828789,0.8684852719306946,13,23,3,3,1,10
2,antesdevenir,,,,,-0.7136935440454362,0.167486734688282,0.1423591822385788,0.025127552449703217,0.8325132727622986,22,31,5,4,1,15
3,antesdevenir,,,,,-1.295473749004388,0.1374431923031807,0.05707487463951111,0.08036831766366959,0.8625568747520447,21,24,2,3,2,11
4,antesdevenir,5.0,1.0,1.0,1.0,-0.8504515198049456,0.2416246272623539,0.18919862806797028,0.05242599919438362,0.758375346660614,86,51,24,12,9,23
5,antesdevenir,5.0,0.0,0.0,3.0,-0.20699523061111988,0.6019454505294561,0.027072658762335777,0.5748727917671204,0.3980545401573181,40,46,12,4,6,27
6,antesdevenir,5.0,1.0,3.0,3.0,-0.674435812922601,0.12731057032942772,0.03978804126381874,0.08752252906560898,0.8726894855499268,37,42,23,2,4,15
7,antesdevenir,3.0,0.0,0.0,1.0,0.4920631706990183,0.791374116204679,0.007724433206021786,0.7836496829986572,0.20862595736980438,92,131,11,11,17,42
8,antesdevenir,4.0,-1.0,-2.0,2.0,-1.0516709361832326,0.8167287041433156,0.005294614005833864,0.8114340901374817,0.18327128887176514,18,21,2,1,1,3
9,antesdevenir,5.0,0.0,0.0,5.0,-0.647741649255096,0.2396377343684435,0.212935671210289,0.026702063158154488,0.7603623867034912,57,53,8,18,28,33
10,antesdevenir,4.0,0.0,0.0,1.0,-1.3549917475308002,0.2869012877345085,0.07218185812234879,0.21471942961215973,0.7130986452102661,26,32,5,3,4,15
11,antesdevenir,5.0,-1.0,-3.0,3.0,-0.07898292968442373,0.4218486566096544,0.025254609063267708,0.3965940475463867,0.5781513452529907,43,33,6,7,3,26
12,antesdevenir,5.0,0.0,0.0,5.0,-0.5908223722127263,0.4905587797984481,0.47971561551094055,0.010843164287507534,0.5094411969184875,16,14,1,1,6,6
13,antesdevenir,5.0,0.0,0.0,3.0,-0.9792417328354092,0.34337731171399355,0.015547891147434711,0.32782942056655884,0.6566227078437805,23,18,2,0,11,3
14,antesdevenir,5.0,-1.0,-3.0,3.0,-0.5393506212648549,0.23994213342666626,0.031249627470970154,0.2086925059556961,0.7600578665733337,22,28,3,5,4,15
15,antesdevenir,4.0,0.0,0.0,1.0,-0.9457021759103253,0.3388409484177828,0.3144177794456482,0.02442316897213459,0.6611590385437012,20,16,3,1,4,9
16,antesdevenir,5.0,0.0,0.0,2.0,-1.9015970731391623,0.5866617821156979,0.5613952279090881,0.025266554206609726,0.41333815455436707,15,18,9,2,3,8
17,antesdevenir,5.0,1.0,4.0,4.0,-0.7589568906355413,0.23705128207802773,0.20106272399425507,0.03598855808377266,0.7629486322402954,42,69,7,7,5,23
