Sujetos,Condición,num_palabras_unicas_norm,primera_persona_norm,tercera_persona_norm,num noun norm,num verb norm,num adj norm,num advs norm,num numeral norm,num propn norm
44,campeones_del_mundo,1.172497121104353,0.04914004914004914,0.08845208845208845,0.1375921375921376,0.16216216216216217,0.04914004914004914,0.056511056511056514,0.007371007371007371,0.012285012285012284
45,campeones_del_mundo,,0.04158907510862818,0.06579764121663563,0.12166356300434512,0.16511483550589695,0.043451272501551834,0.09373060211049038,0.004345127250155183,0.04717566728739913
46,campeones_del_mundo,1.8880150101056432,0.05,0.05576923076923077,0.1673076923076923,0.1423076923076923,0.03461538461538462,0.08269230769230769,0.0038461538461538464,0.03653846153846154
47,campeones_del_mundo,1.3822829107038155,0.0391304347826087,0.04782608695652174,0.16956521739130434,0.12608695652173912,0.0391304347826087,0.10434782608695652,0.004347826086956522,0.02608695652173913
48,campeones_del_mundo,1.691163862926241,0.07401315789473684,0.044407894736842105,0.14967105263157895,0.16776315789473684,0.039473684210526314,0.08388157894736842,0.004934210526315789,0.013157894736842105
49,campeones_del_mundo,1.8667681941251202,0.04560260586319218,0.07980456026058631,0.16286644951140064,0.13192182410423453,0.03420195439739414,0.09120521172638436,0.003257328990228013,0.02768729641693811
50,campeones_del_mundo,0.4040950971038548,0.03857566765578635,0.06528189910979229,0.1394658753709199,0.1661721068249258,0.03560830860534125,0.11869436201780416,0.020771513353115726,0.011869436201780416
51,campeones_del_mundo,1.8496645098308855,0.036390101892285295,0.055312954876273655,0.1586608442503639,0.15429403202328967,0.039301310043668124,0.10771470160116449,0.03056768558951965,0.026200873362445413
52,campeones_del_mundo,-0.14068469031161568,0.03571428571428571,0.04017857142857143,0.15625,0.125,0.05357142857142857,0.13839285714285715,0.008928571428571428,0.0
53,campeones_del_mundo,,0.04888569374550683,0.07548526240115025,0.1531272465851905,0.14593817397555714,0.03450754852624011,0.0603882099209202,0.012940330697340043,0.051042415528396834
54,campeones_del_mundo,1.2297226623879485,0.021897810218978103,0.08759124087591241,0.22992700729927007,0.11678832116788321,0.05474452554744526,0.09124087591240876,0.0,0.010948905109489052
55,campeones_del_mundo,1.3922574822615323,0.056962025316455694,0.05569620253164557,0.16962025316455695,0.12658227848101267,0.05949367088607595,0.08734177215189873,0.012658227848101266,0.01139240506329114
56,campeones_del_mundo,1.1027655172462898,0.054441260744985676,0.03724928366762178,0.1346704871060172,0.14040114613180515,0.05157593123209169,0.09455587392550144,0.008595988538681949,0.02865329512893983
57,campeones_del_mundo,0.7044449016289525,0.0584958217270195,0.06685236768802229,0.17270194986072424,0.13370473537604458,0.033426183844011144,0.10027855153203342,0.005571030640668524,0.002785515320334262
58,campeones_del_mundo,1.4616857993822963,0.04339250493096647,0.04930966469428008,0.15483234714003946,0.1282051282051282,0.03550295857988166,0.08974358974358974,0.004930966469428008,0.04930966469428008
59,campeones_del_mundo,1.2868423768093333,0.01911764705882353,0.06470588235294118,0.1514705882352941,0.14852941176470588,0.04852941176470588,0.08823529411764706,0.004411764705882353,0.03823529411764706
60,campeones_del_mundo,1.5645613534502831,0.037996545768566495,0.05008635578583765,0.16062176165803108,0.14680483592400692,0.046632124352331605,0.08635578583765112,0.015544041450777202,0.013816925734024179
61,campeones_del_mundo,1.6593082789999298,0.046875,0.078125,0.1796875,0.171875,0.03125,0.1015625,0.0078125,0.0234375
62,campeones_del_mundo,0.5359718986051654,0.06372549019607843,0.04411764705882353,0.11029411764705882,0.15931372549019607,0.04656862745098039,0.11274509803921569,0.0024509803921568627,0.01715686274509804
63,campeones_del_mundo,0.7065707106019177,0.03285420944558522,0.061601642710472276,0.15195071868583163,0.10472279260780287,0.043121149897330596,0.10882956878850103,0.01026694045174538,0.006160164271047228
64,campeones_del_mundo,1.4895833333333335,0.05792163543441227,0.05792163543441227,0.151618398637138,0.151618398637138,0.044293015332197615,0.09710391822827939,0.022146507666098807,0.03236797274275979
65,campeones_del_mundo,0.932294445082039,0.022026431718061675,0.08590308370044053,0.17180616740088106,0.1343612334801762,0.06828193832599119,0.07488986784140969,0.006607929515418502,0.011013215859030838
